Count,Question,Answer
3,What is the extent of the midline shift caused by the lesion? 1) 10 mm  2) 15 mm  3) 8 mm  4) 12 mm,10 mm
4,Was intravenous gadolinium chelate administered for imaging? 1) Yes  2) No  3) Inconclusive  4) Not Discussed,Yes
3,What is the signal status of the bone marrow? 1) Normal  2) Abnormal  3) Inconclusive  4) Not Discussed,Normal
1,What is the size of the right parietal mass? 1) 5.5 x 4.4 x 4.5 cm  2) 6.0 x 5.0 x 5.0 cm  3) 4.5 x 3.5 x 3.5 cm  4) 5.0 x 4.0 x 4.0 cm,5.5 x 4.4 x 4.5 cm
4,What is the extent of the midline shift observed? 1) 4 mm leftward  2) 3 mm rightward  3) 5 mm leftward  4) No midline shift,4 mm leftward
1,What does ASL demonstrate regarding the lesion? 1) Hyperemic rim  2) Hypoemic rim  3) No rim  4) Diffuse hyperemia,Hyperemic rim
1,What is the size of the mass? 1) 2.7 x 2.4 x 2.5 cm  2) 3.0 x 2.5 x 2.7 cm  3) 2.5 x 2.4 x 2.7 cm  4) 2.7 x 2.5 x 2.4 cm,2.7 x 2.4 x 2.5 cm
3,What is the associated effect of the mass on the left lateral ventricle? 1) Deformity of the posterior body  2) Enlargement of the anterior body  3) Compression of the inferior body  4) No effect,Deformity of the posterior body
3,What is the extent of the midline shift observed? 1) 10 mm right to left  2) 5 mm left to right  3) 15 mm right to left  4) No shift,10 mm right to left
2,What is the nature of the subependymal spread? 1) Localized  2) Diffuse  3) Absent  4) Extensive,Localized
3,What is the presence of scattered subcortical areas of FLAIR hyperintensity? 1) Within the range of normal  2) Indicative of pathology  3) Not present  4) Inconclusive,Within the range of normal
3,What is the presence of susceptibility within the lesion? 1) Multiple focal areas  2) Single focal area  3) No susceptibility  4) Inconclusive,Multiple focal areas
3,What imaging feature is consistent with increased cellularity? 1) Reduced diffusion  2) Peripheral enhancement  3) Central necrosis  4) Surrounding edema,Reduced diffusion
1,What is the mass effect associated with the lesion? 1) Local mass effect  2) No mass effect  3) Diffuse mass effect  4) Inconclusive,Local mass effect
4,What is the presence of abnormal enhancement in scattered subcortical areas? 1) None  2) Mild  3) Significant  4) Inconclusive,
1,What is the size of the necrotic mass? 1) 40 x 53 x 36 mm  2) 27 x 43 x 26 mm  3) 50 x 60 x 40 mm  4) 35 x 45 x 30 mm,40 x 53 x 36 mm
4,What is the location of the multifocal hemorrhagic high-grade glial neoplasm? 1) Left Temporal Lobe  2) Right Temporal Lobe  3) Left Parietal Lobe  4) Right Parietal Lobe,Left Temporal Lobe
2,What is the extent of the midline shift observed? 1) 4 mm  2) 6 mm  3) 8 mm  4) 10 mm,6 mm
3,What is the interval change in the mass effect? 1) Increased  2) Decreased  3) Unchanged  4) Not discussed,Increased
4,What is the evidence of abnormal subependymal enhancement? 1) None  2) Present  3) Inconclusive  4) Not discussed,
4,What is the evidence of acute intraparenchymal hemorrhage? 1) None  2) Present  3) Inconclusive  4) Not discussed,
3,What is the associated mass effect caused by the neoplasm? 1) 9 mm right to left midline shift  2) 5 mm left to right midline shift  3) 12 mm right to left midline shift  4) 7 mm left to right midline shift,9 mm right to left midline shift
4,What is the evidence of territorial reduced diffusion? 1) None  2) Present  3) Inconclusive  4) Not discussed,
4,What is the evidence of suspicious enhancement of the leptomeninges? 1) None  2) Present  3) Inconclusive  4) Not discussed,
4,What is the deformity observed in the lateral ventricle? 1) Left atrium  2) Right atrium  3) Left posterior horn  4) Right posterior horn,Left atrium
4,What is the evidence of herniation? 1) None  2) Present  3) Inconclusive  4) Not discussed,
4,What is the evidence of acute infarct? 1) None  2) Present  3) Inconclusive  4) Not discussed,
2,What is the size of the mass observed in the left frontal and temporal lobes? 1) 4 x 4 cm  2) 5 x 5 cm  3) 6 x 6 cm  4) 7 x 7 cm,6 x 6 cm
2,What is the size of the mass identified? 1) 6.1 x 4.5 x 5.2 cm  2) 5.0 x 4.0 x 3.0 cm  3) 7.0 x 6.0 x 5.0 cm  4) 4.5 x 3.5 x 2.5 cm,6.1 x 4.5 x 5.2 cm
3,What is the midline shift measurement? 1) 7 mm leftward  2) 5 mm rightward  3) 10 mm leftward  4) 3 mm rightward,7 mm leftward
3,What type of tumor is suggested by the findings? 1) Low-grade glial tumor  2) High-grade glial tumor  3) Benign tumor  4) Metastatic tumor,High-grade glial tumor
1,What is the observed blood flow characteristic of the mass? 1) Decreased peripheral blood flow  2) Increased peripheral blood flow  3) Normal blood flow  4) No blood flow,Increased peripheral blood flow
1,What is the size of the mass? 1) 6.6 x 3.4 x 3.7 cm  2) 5.5 x 2.3 x 4.1 cm  3) 7.2 x 4.0 x 3.5 cm  4) 6.0 x 3.0 x 3.0 cm,6.6 x 3.4 x 3.7 cm
2,What does the peripheral enhancement along the inferior aspect of the left ventricular atrium likely represent? 1) Intraventricular spread of disease  2) Hydrocephalus  3) Vasogenic edema  4) Normal anatomical variation,Intraventricular spread of disease
2,What is the location of the mass? 1) Left frontal lobe  2) Right frontal lobe  3) Left parietal lobe  4) Right parietal lobe,Left frontal lobe
2,What imaging feature suggests the mass is a high-grade glioma? 1) Hypervascularity  2) Peripheral rim enhancement  3) Vasogenic edema  4) All of the above,All of the above
3,Which structure is affected by the mass crossing the midline? 1) Corpus callosum  2) Anterior commissure  3) Posterior commissure  4) Optic chiasm,Anterior commissure
4,What is the observed cerebral blood flow in the mass? 1) Increased  2) Decreased  3) Normal  4) Absent,Increased
2,Which gyri are affected by vasogenic edema? 1) Superior frontal gyri  2) Middle and inferior frontal gyri  3) Precentral gyri  4) Postcentral gyri,Middle and inferior frontal gyri
3,What is the nature of the central portion of the mass? 1) Homogeneous enhancement  2) Irregular peripheral rim enhancement  3) No enhancement  4) Uniform signal,Irregular peripheral rim enhancement
2,What is the extent of the midline shift caused by the tumor? 1) 9 mm  2) 5 mm  3) 12 mm  4) 7 mm,9 mm
2,What is the location of the large heterogeneous mass? 1) Left middle and inferior frontal gyrus  2) Right middle and inferior frontal gyrus  3) Left parietal lobe  4) Right parietal lobe,Left middle and inferior frontal gyrus
2,What is the location of the heterogeneous mass? 1) Left cingulate gyrus  2) Right cingulate gyrus  3) Left parietal lobe  4) Right parietal lobe,Left cingulate gyrus
4,What is the extent of the mass effect caused by the infiltrative tumor and edema? 1) 3 mm left to right midline shift  2) 5 mm left to right midline shift  3) 3 mm right to left midline shift  4) 5 mm right to left midline shift,3 mm left to right midline shift
2,What is the condition of the left vertebral artery? 1) Dominant  2) Non-dominant  3) Absent  4) Stenosed,Dominant
1,Where is the lesion located? 1) Left inferior parietal lobule  2) Right superior frontal gyrus  3) Left temporal lobe  4) Right occipital lobe,Left inferior parietal lobule
1,Does the lesion involve the white matter and cortex? 1) Yes  2) No  3) Inconclusive  4) Not discussed,Yes
2,What is the suspected diagnosis for the lesion? 1) High-grade glial neoplasm  2) Benign tumor  3) Metastatic carcinoma  4) Inflammatory granuloma,High-grade glial neoplasm
2,Is there evidence of acute infarct? 1) No  2) Yes  3) Inconclusive  4) Not discussed,No
1,Is there a midline shift present? 1) No  2) Yes  3) Inconclusive  4) Not discussed,No
2,What is the signal intensity of the brain for the patient's age? 1) Normal  2) Abnormal  3) Inconclusive  4) Not discussed,Normal
1,What is the condition of the skull base marrow signal intensity? 1) Normal  2) Abnormal  3) Inconclusive  4) Not discussed,Normal
1,What is the signal intensity of the brain for the patient's age? 1) Abnormal  2) Normal  3) Elevated  4) Reduced,Normal
3,What is the nature of the mass in the sella? 1) Hypoenhancing  2) Hyperenhancing  3) Nonenhancing  4) Isoenhancing,Hypoenhancing
1,Where is the mass located? 1) Right posterior temporal lobe  2) Left anterior frontal lobe  3) Right parietal lobe  4) Left occipital lobe,Right posterior temporal lobe
1,What type of enhancement does the mass exhibit? 1) Rim enhancing  2) Diffuse enhancing  3) No enhancement  4) Spot enhancing,Rim enhancing
1,What is the observed diffusion characteristic of the mass? 1) Reduced diffusion  2) Increased diffusion  3) Normal diffusion  4) No diffusion,Reduced diffusion
3,What is the vascular characteristic of the mass? 1) Significant hypervascularity  2) Hypovascularity  3) Normal vascularity  4) Avascular,Significant hypervascularity
1,What is the trapping observed in the right lateral ventricle? 1) Temporal horn  2) Occipital horn  3) Frontal horn  4) Parietal horn,Temporal horn
2,What is the compatibility of the mass with a specific diagnosis? 1) High-grade glial neoplasm  2) Low-grade glioma  3) Meningioma  4) Metastatic carcinoma,High-grade glial neoplasm
2,What is the observed mass effect? 1) Right to left midline shift  2) Left to right midline shift  3) No midline shift  4) Bilateral midline shift,Right to left midline shift
1,What is the location of the lesion? 1) Left frontal middle gyrus  2) Right parietal lobe  3) Left occipital lobe  4) Right temporal lobe,Left frontal middle gyrus
1,What is observed within the lesion's center? 1) Central necrosis  2) Increased perfusion  3) Hemorrhage  4) Hydrocephalus,Central necrosis
3,Where is the aggressive neoplasm centered? 1) Right limen insula  2) Left paracentral lobule  3) Right frontal lobe  4) Left temporal lobe,Right limen insula
1,What is the signal intensity within the skull base? 1) Normal marrow signal intensity  2) Increased marrow signal intensity  3) Decreased marrow signal intensity  4) Absent marrow signal intensity,Normal marrow signal intensity
3,What is the nature of the lesion in the left paracentral lobule? 1) Small nonenhancing cortically based lesion  2) Large enhancing cortically based lesion  3) Small enhancing cortically based lesion  4) Large nonenhancing cortically based lesion,Small nonenhancing cortically based lesion
1,What is the condition of the surrounding T2/FLAIR intense signal? 1) Marked surrounding signal  2) Mild surrounding signal  3) Absent surrounding signal  4) Moderate surrounding signal,Marked surrounding signal
1,Which areas are involved by the mass? 1) Left frontal and temporal lobes  2) Right frontal and temporal lobes  3) Bilateral frontal lobes  4) Occipital lobes,Left frontal and temporal lobes
1,What is the observed midline shift due to the mass? 1) 1.0 cm  2) 1.5 cm  3) 2.0 cm  4) 2.5 cm,1.5 cm
1,What is the observed diffusion characteristic of the mass? 1) Reduced diffusion  2) Increased diffusion  3) Normal diffusion  4) No diffusion,Reduced diffusion
3,What is the observed susceptibility characteristic of the mass? 1) Foci of hemorrhage  2) Foci of calcification  3) No susceptibility  4) Normal susceptibility,Foci of hemorrhage
1,Which hemisphere is primarily affected by the mass? 1) Left hemisphere  2) Right hemisphere  3) Both hemispheres equally  4) Neither hemisphere,Left hemisphere
3,What type of signal abnormality is noted in the medial temporal lobes? 1) Nonenhancing masslike FLAIR signal abnormality  2) Enhancing masslike FLAIR signal abnormality  3) Hyperintense T2 signal abnormality  4) Hypointense T2 signal abnormality,Nonenhancing masslike FLAIR signal abnormality
1,What is the location of the infiltrative enhancement? 1) Margin of the right lateral ventricle  2) Margin of the left lateral ventricle  3) Margin of the third ventricle  4) Margin of the fourth ventricle,Margin of the right lateral ventricle
3,What is the signal characteristic extending into the anterior perforated substance? 1) Non-enhancing masslike FLAIR signal abnormality  2) Enhancing masslike FLAIR signal abnormality  3) Hyperintense T2 signal abnormality  4) Hypointense T2 signal abnormality,Non-enhancing masslike FLAIR signal abnormality
1,What is the extent of the mass's effect on the midline? 1) 6 mm rightward shift  2) 6 mm leftward shift  3) 3 mm rightward shift  4) 3 mm leftward shift,6 mm rightward shift
1,What is the condition of the major vessels of the circle of Willis? 1) Patent without significant stenosis  2) Occluded  3) Exhibiting aneurysm  4) Dissected,Patent without significant stenosis
2,What is the nature of the mass's enhancement? 1) Patchy intrinsic T1 hyperintensity  2) Uniform T1 hyperintensity  3) No enhancement observed  4) Diffuse T2 hyperintensity,Patchy intrinsic T1 hyperintensity
3,What is the size of the retro-cerebellar arachnoid cyst? 1) 9.7 cm x 4.0 cm x 4.7 cm  2) 8.7 cm x 3.0 cm x 4.7 cm  3) 9.7 cm x 4.0 cm x 5.7 cm  4) 8.7 cm x 3.0 cm x 5.7 cm,9.7 cm x 4.0 cm x 4.7 cm
1,What signal abnormality is noted in the right pulvinar nucleus of the thalamus? 1) T1 hyperintensity  2) T2 hyperintensity  3) FLAIR hypointensity  4) T2 hypointensity,T2 hyperintensity
3,Which structure is affected by T2/FLAIR prolongation? 1) Left Splenium Corpus Callosum  2) Right Splenium Corpus Callosum  3) Left Temporal Lobe  4) Right Temporal Lobe,Left Splenium Corpus Callosum
3,Is there abnormal enhancement within the left atrium lateral ventricle? 1) Yes  2) No  3) Inconclusive  4) Not Discussed,No
1,What is the effect of the lesion on the left lateral ventricle? 1) Local Mass Effect  2) Compression  3) Expansion  4) No Effect,Local Mass Effect
3,What is the cerebral and cerebellar volume status for the patient's age? 1) Normal  2) Reduced  3) Increased  4) Not Discussed,Normal
2,What is the location of the mass within the brain? 1) Right parietal lobe  2) Left parietal lobe  3) Right frontal lobe  4) Left frontal lobe,Right parietal lobe
3,What is the nature of the mass enhancement observed? 1) Patchy non-mass like enhancement  2) Uniform mass-like enhancement  3) No enhancement  4) Diffuse enhancement,Patchy non-mass like enhancement
1,What is the location of the necrotic mass? 1) Left periventricular white matter  2) Right periventricular white matter  3) Left frontal lobe  4) Right frontal lobe,Left periventricular white matter
2,What is the drainage pattern of the vein associated with the tumor? 1) To the left thalamostriate vein  2) To the right thalamostriate vein  3) To the superior sagittal sinus  4) To the inferior sagittal sinus,To the left thalamostriate vein
2,What is the presence of subependymal abnormal enhancement? 1) No evidence  2) Mild evidence  3) Significant evidence  4) Inconclusive evidence,No evidence
1,What is the presence of additional sites of abnormal enhancement? 1) None demonstrated  2) Mild enhancement  3) Significant enhancement  4) Inconclusive,None demonstrated
3,Where is the necrotic mass located? 1) Left superior temporal gyrus posteriorly  2) Right superior temporal gyrus posteriorly  3) Left inferior temporal gyrus anteriorly  4) Right inferior temporal gyrus anteriorly,Left superior temporal gyrus posteriorly
1,What contrast media was administered? 1) Intravenous gadolinium chelate  2) Oral iodine-based contrast  3) Intravenous iodine-based contrast  4) Oral gadolinium chelate,Intravenous gadolinium chelate
1,Is there evidence of hydrocephalus? 1) No  2) Yes  3) Inconclusive  4) Not discussed,No
1,What is the statistical likelihood of the FLAIR/T2 hyperintensities within the subcortical and deep white matter? 1) Chronic microvascular ischemic disease  2) Acute infarct  3) High grade glioma  4) Benign tumor,Chronic microvascular ischemic disease
3,What is the nature of the contrast-enhancing portions of the mass? 1) Patchy reduced effusion  2) Homogeneous enhancement  3) No enhancement  4) Uniform reduced effusion,Patchy reduced effusion
1,Where is the location of the mass? 1) Right parieto-occipital lobe  2) Left frontal lobe  3) Right temporal lobe  4) Left parietal lobe,Right parieto-occipital lobe
2,What type of signal abnormality surrounds the mass? 1) FLAIR hyperintense signal  2) T1 hypointense signal  3) T2 hyperintense signal  4) Diffusion restriction,FLAIR hyperintense signal
2,What is the effect on the right temporal horn? 1) Slight prominence  2) Complete collapse  3) No change  4) Severe dilation,Slight prominence
1,What is the perfusion characteristic of the peripheral enhancing components? 1) Elevated perfusion  2) Reduced perfusion  3) No perfusion change  4) Variable perfusion,Elevated perfusion
1,What is the location of the enhancing mass? 1) Left temporal lobe  2) Right temporal lobe  3) Left frontal lobe  4) Right frontal lobe,Left temporal lobe
2,Which gyrus is involved in the lesion? 1) Superior temporal gyrus  2) Inferior temporal gyrus  3) Precentral gyrus  4) Postcentral gyrus,Superior temporal gyrus
2,Which ventricle is contacted by the enhancement? 1) Left lateral ventricle  2) Right lateral ventricle  3) Third ventricle  4) Fourth ventricle,Left lateral ventricle
1,What is the compatibility of susceptibility signal within the necrotic portions of the mass? 1) Microhemorrhage  2) Calcification  3) Edema  4) No signal,Microhemorrhage
1,What is the signal characteristic of scattered foci in the white matter? 1) T2/FLAIR signal hyperintensity  2) T1 signal hyperintensity  3) T2 signal hypointensity  4) No signal abnormality,T2/FLAIR signal hyperintensity
1,What type of enhancement does the lesion exhibit? 1) Irregularly enhancing rim  2) Uniform enhancement  3) No enhancement  4) Patchy enhancement,Irregularly enhancing rim
1,"Are there any foci of T2/FLAIR hyperintensity? 1) Yes, scattered in the subcortical and deep white matter  2) No foci observed  3) Inconclusive  4) Not discussed","Yes, scattered in the subcortical and deep white matter"
2,What is the extent of mass effect caused by the lesion? 1) Mild local mass effect  2) Severe mass effect  3) No mass effect  4) Moderate mass effect,Mild local mass effect
2,What is the nature of the lesion's rim? 1) Irregularly enhancing  2) Smoothly enhancing  3) Non-enhancing  4) Patchy enhancing,Irregularly enhancing
2,What is noted within the central component of the enhancing lesion? 1) Scattered foci of hemorrhage  2) Calcifications  3) Cystic changes  4) Necrosis,Scattered foci of hemorrhage
1,What is the observed effect on the right lateral ventricle? 1) Effacement of the posterior frontal horn  2) Enlargement of the posterior frontal horn  3) No effect  4) Compression of the anterior frontal horn,Effacement of the posterior frontal horn
2,What is the diffusion characteristic of the lesion? 1) Areas of reduced diffusion  2) Areas of increased diffusion  3) No diffusion changes  4) Uniform diffusion,Areas of reduced diffusion
2,What is the nature of the FLAIR hyperintense foci within the right splenium? 1) Subtle and of uncertain clinical significance  2) Prominent and indicative of acute infarct  3) Subtle and indicative of chronic ischemia  4) Prominent and of uncertain clinical significance,Subtle and of uncertain clinical significance
1,What is the likely diagnosis for the mass? 1) High grade glioma  2) Meningioma  3) Astrocytoma  4) Metastatic carcinoma,High grade glioma
2,What is the midline shift measurement? 1) 6 mm rightward  2) 5 mm leftward  3) 7 mm rightward  4) 4 mm leftward,6 mm rightward
1,What is the nature of the enhancement in the lesion? 1) Heterogeneous enhancement  2) Homogeneous enhancement  3) No enhancement  4) Diffuse enhancement,Heterogeneous enhancement
2,Which lobe is primarily affected by the mass? 1) Frontal lobe  2) Parietal lobe  3) Temporal lobe  4) Occipital lobe,Frontal lobe
1,What is the diffusion characteristic of the medial enhancing portion of the mass? 1) Mildly reduced diffusion  2) Normal diffusion  3) Increased diffusion  4) Absent diffusion,Mildly reduced diffusion
1,What does the lesion's diffusion indicate? 1) Reduced diffusion centrally  2) Increased diffusion centrally  3) Normal diffusion centrally  4) Not discussed,Reduced diffusion centrally
1,What is the condition of the sulci adjacent to the lesion? 1) Effaced without midline shift  2) Normal  3) Effaced with midline shift  4) Not discussed,Effaced without midline shift
1,Which structure is affected by the mass in the sella? 1) Optic chiasm  2) Cerebellum  3) Hippocampus  4) Corpus callosum,Optic chiasm
1,What type of neoplasm is consistent with the lesion in the right insula? 1) High-grade glial neoplasm  2) Low-grade glioma  3) Benign tumor  4) Meningioma,High-grade glial neoplasm
1,What is the effect of the lesion on the right lateral ventricle? 1) Near-complete effacement  2) Partial effacement  3) No effacement  4) Enlargement,Near-complete effacement
1,What is the size of the mass observed? 1) 7.0 x 4.4 cm  2) 5.0 x 3.4 cm  3) 6.0 x 4.0 cm  4) 8.0 x 5.0 cm,7.0 x 4.4 cm
1,What imaging characteristic is most suggestive of the mass type? 1) High-grade primary glial neoplasm  2) Low-grade primary glial neoplasm  3) Secondary metastatic tumor  4) Benign cystic lesion,High-grade primary glial neoplasm
1,What is the enhancement pattern of the mass? 1) Peripherally irregularly enhancing  2) Uniformly enhancing  3) Non-enhancing  4) Centrally enhancing,Peripherally irregularly enhancing
1,What is the involvement of the sulci overlying the mass? 1) Effacement  2) Enlargement  3) No involvement  4) Compression,Effacement
1,What type of tumor is suggested by the imaging findings? 1) High grade glioma  2) Benign meningioma  3) Low grade astrocytoma  4) Metastatic carcinoma,High grade glioma
1,What is the nature of the lesion's enhancement? 1) Thick and irregular peripheral enhancement  2) Uniform central enhancement  3) No enhancement observed  4) Diffuse enhancement throughout,Thick and irregular peripheral enhancement
1,What is the nature of the enhancing component of the neoplasm? 1) Heterogeneous reduced effusion and increased perfusion  2) Homogeneous reduced effusion and increased perfusion  3) Heterogeneous increased effusion and reduced perfusion  4) Homogeneous increased effusion and reduced perfusion,Heterogeneous reduced effusion and increased perfusion
1,What is the likely diagnosis for the aggressive neoplasm? 1) High-grade glioma  2) Low-grade glioma  3) Benign tumor  4) Metastatic carcinoma,High-grade glioma
1,What is the nature of the mass's enhancement? 1) Heterogeneously enhancing  2) Homogeneously enhancing  3) Non-enhancing  4) Uniformly enhancing,Heterogeneously enhancing
1,What is the size of the tumor? 1) 5.0 x 3.2 cm  2) 4.0 x 2.5 cm  3) 6.0 x 3.5 cm  4) 3.0 x 2.0 cm,5.0 x 3.2 cm
1,Where is the tumor centered? 1) Right lentiform nuclei  2) Left lentiform nuclei  3) Right parietal lobe  4) Left parietal lobe,Right lentiform nuclei
1,What is the enhancement pattern of the tumor? 1) Heterogeneously enhancing  2) Homogeneously enhancing  3) Non-enhancing  4) Patchy enhancing,Heterogeneously enhancing
